group1,group2,meandiff,p-adj,lower,upper,reject
3,22,294726094.4547,0.001,149569888.6198,439882300.2897,True
3,23,116681678.0175,0.0562,-1053540.2558,234416896.2909,False
3,24,89912686.9183,0.6261,-36437211.4469,216262585.2835,False
3,25,42362981.0232,0.9,-74330187.5509,159056149.5972,False
3,26,127031206.6292,0.0421,1702445.7917,252359967.4667,True
3,27,119574015.616,0.0167,8935178.1781,230212853.0538,True
3,28,87874203.4973,0.1728,-10658629.161,186407036.1556,False
3,29,130522481.5573,0.002,23217721.6097,237827241.5049,True
4,5,-12106313.6735,0.9,-95673857.0175,71461229.6704,False
4,6,-9251919.2074,0.9,-99381604.5969,80877766.1822,False
4,7,-56723417.3575,0.9,-164963696.3638,51516861.6487,False
4,8,55533433.744,0.7523,-28361339.0739,139428206.5619,False
4,9,-20594224.146,0.9,-185360287.0814,144171838.7893,False
4,10,-21194853.304,0.9,-120612219.8667,78222513.2587,False
4,11,-3592732.5485,0.9,-88171255.6542,80985790.5573,False
4,12,-13651171.2741,0.9,-112369882.8941,85067540.346,False
4,13,74285122.4571,0.5636,-26613072.8226,175183317.7369,False
4,14,64044891.0869,0.363,-15158663.2034,143248445.3772,False
4,15,-106538779.7629,0.0088,-201375026.3406,-11702533.1853,True
4,16,-76439821.2981,0.1841,-162818693.9657,9939051.3694,False
4,17,2369652.1165,0.9,-119146734.4818,123886038.7149,False
4,18,-73327659.4306,0.6166,-175830060.138,29174741.2769,False
4,19,36362163.5087,0.9,-79583553.1503,152307880.1677,False
4,20,11521192.9447,0.9,-86746127.5972,109788513.4866,False
4,21,19487925.0585,0.9,-91462328.5107,130438178.6276,False
4,22,175840231.9564,0.001,37388122.9082,314292341.0046,True
4,23,-2204184.4808,0.9,-111567085.0886,107158716.127,False
4,24,-28973175.58,0.9,-147560524.0806,89614172.9205,False
4,25,-76522881.4752,0.6379,-184763160.4814,31717397.5311,False
4,26,8145344.1309,0.9,-109353424.8012,125644113.063,False
4,27,688153.1176,0.9,-100995743.1349,102372049.3701,False
4,28,-31011659.001,0.9,-119371047.4052,57347729.4032,False
4,29,11636619.0589,0.9,-86409155.5308,109682393.6487,False
5,6,2854394.4661,0.9,-85451078.0201,91159866.9524,False
5,7,-44617103.684,0.9,-151343174.9223,62108967.5542,False
5,8,67639747.4175,0.3155,-14292109.566,149571604.4011,False
5,9,-8487910.4725,0.9,-172263219.2886,155287398.3436,False
5,10,-9088539.6305,0.9,-106855144.6491,88678065.3881,False
5,11,8513581.125,0.9,-74118270.1997,91145432.4498,False
5,12,-1544857.6006,0.9,-98600925.4507,95511210.2495,False
5,13,86391436.1306,0.2128,-12880624.8599,185663497.1212,False
5,14,76151204.7604,0.0589,-970123.6437,153272533.1645,False
5,15,-94432466.0894,0.0417,-187536762.164,-1328170.0149,True
