group1,group2,meandiff,p-adj,lower,upper,reject
5,26,-24943175.6261,0.9,-101058836.8591,51172485.6069,False
5,27,7889404.5089,0.9,-130197885.2118,145976694.2297,False
5,28,-23072174.0284,0.9,-111911470.4157,65767122.3589,False
5,29,-136830227.3857,0.001,-222995758.7901,-50664695.9812,True
6,7,20819448.7905,0.9,-76773562.9583,118412460.5393,False
6,8,26955893.8782,0.9,-109989191.8102,163900979.5667,False
6,9,-18102690.0408,0.9,-126566770.8576,90361390.7761,False
6,10,59565014.7965,0.9,-54475720.6998,173605750.2929,False
6,11,-54141073.4578,0.9,-180826558.544,72544411.6283,False
6,12,3973053.1993,0.9,-101790416.3586,109736522.7572,False
6,13,-40569337.7926,0.9,-177514423.4811,96375747.8958,False
6,14,-81314085.0421,0.6137,-194803964.4757,32175794.3915,False
6,15,-22712089.2687,0.9,-138326597.8043,92902419.2669,False
6,16,68411569.6467,0.9,-63092941.8253,199916081.1187,False
6,17,-1578776.4418,0.9,-136258838.6255,133101285.7419,False
6,18,11555435.4338,0.9,-112771283.06,135882153.9276,False
6,19,-92615926.6977,0.4202,-209897005.666,24665152.2707,False
6,20,-19878645.4854,0.9,-169068729.0427,129311438.0719,False
6,21,40396412.4333,0.9,-81453665.846,162246490.7126,False
6,22,35957713.8052,0.9,-123507899.0429,195423326.6533,False
6,23,-46638683.6575,0.9,-200990362.8587,107712995.5438,False
6,24,-59601842.222,0.9,-230934761.411,111731076.9669,False
6,25,-19421905.8328,0.9,-140075916.0733,101232104.4077,False
6,26,-10038676.2076,0.9,-112751553.5637,92674201.1485,False
6,27,22793903.9274,0.9,-131557775.2738,177145583.1287,False
6,28,-8167674.6098,0.9,-120634389.1187,104299039.899,False
6,29,-121925727.9672,0.0117,-232292571.2311,-11558884.7032,True
7,8,6136445.0878,0.9,-100832775.8125,113105665.9881,False
7,9,-38922138.8312,0.9,-105652301.0763,27808023.4138,False
7,10,38745566.0061,0.9,-36711355.9982,114202488.0103,False
7,11,-74960522.2483,0.383,-168436026.2979,18514981.8013,False
7,12,-16846395.5911,0.9,-79090826.8178,45398035.6356,False
7,13,-61388786.5831,0.9,-168358007.4834,45580434.3172,False
7,14,-102133533.8326,0.001,-176755316.575,-27511751.0902,True
7,15,-43531538.0591,0.9,-121346525.7526,34283449.6343,False
7,16,47592120.8562,0.9,-52317309.4459,147501551.1584,False
7,17,-22398225.2323,0.9,-126451946.3364,81655495.8718,False
7,18,-9264013.3567,0.9,-99516939.3881,80988912.6748,False
7,19,-113435375.4881,0.001,-193705601.6607,-33165149.3156,True
7,20,-40698094.2759,0.9,-162952496.0684,81556307.5167,False
7,21,19576963.6429,0.9,-67232594.0249,106386521.3106,False
7,22,15138265.0147,0.9,-119463887.2965,149740417.326,False
7,23,-67458132.4479,0.9,-195960656.151,61044391.2552,False
7,24,-80421291.0125,0.9,-228891580.7126,68048998.6876,False
7,25,-40241354.6233,0.9,-125363901.0661,44881191.8196,False
7,26,-30858124.998,0.9,-87765004.2006,26048754.2045,False
7,27,1974455.137,0.9,-126528068.5661,130476978.8401,False
7,28,-28987123.4003,0.9,-102043400.3259,44069153.5253,False
7,29,-142745176.7576,0.001,-212525530.8543,-72964822.661,True
8,9,-45058583.919,0.9,-162030696.4299,71913528.5919,False
8,10,32609120.9183,0.9,-89551869.7063,154770111.5428,False
8,11,-81096967.3361,0.8968,-215138865.2984,52944930.6262,False
8,12,-22982840.6789,0.9,-137455238.0974,91489556.7396,False
8,13,-67525231.6709,0.9,-211302749.9831,76252286.6414,False
8,14,-108269978.9204,0.175,-229916890.1499,13376932.3091,False
8,15,-49667983.1469,0.9,-173299422.7638,73963456.47,False
8,16,41455675.7684,0.9,-97149716.6783,180061068.2152,False
8,17,-28534670.3201,0.9,-170156481.5909,113087140.9507,False
8,18,-15400458.4445,0.9,-147215295.2772,116414378.3883,False
8,19,-119571820.5759,0.0873,-244763153.1904,5619512.0386,False
8,20,-46834539.3637,0.9,-202319906.2303,108650827.503,False
8,21,13440518.5551,0.9,-116040985.3537,142922022.4639,False
8,22,9001819.927,0.9,-156368370.7328,174372010.5867,False
8,23,-73594577.5357,0.9,-234039144.7547,86849989.6832,False
8,24,-86557736.1003,0.9,-263399437.8441,90283965.6435,False
8,25,-46377799.711,0.9,-174734367.3846,81978767.9625,False
8,26,-36994570.0858,0.9,-148654560.47,74665420.2983,False
8,27,-4161989.9508,0.9,-164606557.1697,156282577.2681,False
8,28,-35123568.4881,0.9,-155816485.2241,85569348.2479,False
8,29,-148881621.8454,0.001,-267620235.4884,-30143008.2024,True
9,10,77667704.8373,0.2093,-11404220.9508,166739630.6254,False
9,11,-36038383.4171,0.9,-140813049.9284,68736283.0943,False
9,12,22075743.2401,0.9,-56119078.2251,100270564.7053,False
9,13,-22466647.7519,0.9,-139438760.2627,94505464.759,False
9,14,-63211395.0014,0.6166,-151576950.1962,25154160.1935,False
9,15,-4609399.2279,0.9,-95687570.0207,86468771.565,False
9,16,86514259.6875,0.4414,-24038692.0983,197067211.4732,False
9,17,16523913.5989,0.9,-97788105.7203,130835932.9182,False
9,18,29658125.4746,0.9,-72251891.4152,131568142.3643,False
9,19,-74513236.6569,0.39,-167697838.899,18671365.5853,False
9,20,-1775955.4446,0.9,-132872102.0047,129320191.1154,False
9,21,58499102.4741,0.9,-40374352.9511,157372557.8992,False
9,22,54060403.846,0.9,-88620359.721,196741167.413,False
9,23,-28535993.6167,0.9,-165477439.0717,108405451.8383,False
9,24,-41499152.1813,0.9,-197330752.9844,114332448.6218,False
9,25,-1319215.792,0.9,-98714846.0747,96076414.4906,False
9,26,8064013.8332,0.9,-65952563.9438,82080591.6101,False
9,27,40896593.9682,0.9,-96044851.4868,177838039.4232,False
9,28,9935015.4309,0.9,-77112560.546,96982591.4079,False
9,29,-103823037.9264,0.0015,-188140051.056,-19506024.7968,True
10,11,-113706088.2544,0.0345,-224243698.4496,-3168478.0591,True
